ID_REF	GSM177105	GSM177106	GSM177107	GSM177108	GSM177109	GSM177110	GSM177111	GSM177112	GSM177113	GSM177114	GSM177118	GSM177115	GSM177116	GSM177117
adk	342.7469458	427.268752	12077.21343	20495.22205	24423.79898	27630.99702	26322.33769	7951.437576	16158.43663	11044.19006	19335.97644	21739.03078	20101.28347	18535.45616
ahpC	121.4315923	506.7042081	11167.35576	5245.992392	2420.350048	3650.807791	3902.00524	5603.063005	8387.353808	17150.93966	17499.18365	12052.12566	8439.840388	9397.100742
ahpF	99.4569304	297.1402021	6690.971575	3178.212779	1785.360875	1799.025599	2137.931627	2533.647316	3986.757117	9728.488784	9627.863682	6431.769548	4510.275986	4921.901259
ahrC	55.86992583	181.2704561	2934.70546	2310.517018	2961.269339	2155.788605	1819.088478	2383.721542	1147.278555	1233.036678	1125.226719	1131.483632	1519.098812	1398.825223
alaR	131.7811307	462.0803725	3312.029942	2432.122196	1821.612019	2080.911653	1987.859394	1834.282332	1301.53645	826.0011614	1074.909884	1003.621801	915.2360063	873.7035245
alaS	74.64635967	182.6578567	1066.745271	1009.202521	1513.84313	1891.086972	2696.738656	1212.694131	1009.902289	1527.545883	2000.299067	2005.852769	2120.222564	1640.591109
alaT	93.24794329	349.9487877	2922.525708	2170.7833	2514.402681	2026.816832	1994.760742	1888.467185	1266.823658	1101.306256	1004.3177	1044.068027	922.8804737	936.4122516
albA	54.15415018	49.04383873	521.8531218	273.2352865	149.9149032	200.8535291	120.7600961	344.8917957	250.3842492	269.2868555	277.4338475	166.8028351	299.414442	308.6868039
albB	52.60033199	45.50647714	671.3866313	356.5597391	163.7101544	255.8226158	171.8492804	353.3612425	263.0147685	300.0377046	268.9138033	183.9283426	278.2041248	300.8707401
albC	50.77336596	41.35529058	699.4126115	353.116396	226.285448	208.3694554	158.1335856	289.6165025	266.3168682	333.3745125	290.6219781	215.8671642	234.265387	241.5201922
albD	54.37983994	41.52764054	508.4633577	290.2193697	262.2865467	222.8609442	185.5931946	256	240.3511673	220.4029922	197.1295166	196.5837145	197.8139007	214.0790784
albE	137.282127	26.8341819	346.68942	197.6768341	163.9372623	209.0928617	132.055447	329.2409558	296.9343116	365.3157135	193.6087037	141.4354541	173.5250338	216.4665056
albF	77.60082042	78.30323463	437.4577873	211.7179823	208.2250747	239.5196154	100.2181499	246.2534284	192.4046692	122.6157079	137.3773167	88.279099	153.489909	174.006815
albG	100.6358134	140.3611633	575.830342	203.9398646	179.8935936	264.1108939	147.7485334	443.2571215	168.6630338	145.1096848	114.8016844	106.7431736	165.4211623	163.9372623
ald	64.66889258	40.14087054	551.7993703	451.3178408	500.7684984	693.6191885	603.8305752	441.7235684	5159.444398	2990.145558	3787.420787	3121.448613	3361.75763	3648.278121
aldX	82.9977315	44.41576701	75.58353033	39.20593062	95.00950852	165.0775361	55.67663057	203.2342863	155.3092557	155.8484504	106.0793478	103.6086037	143.2111489	166.341
aldY	86.16320443	48.6375954	89.88447205	52.45469489	102.8216316	160.7862248	85.68673645	272.2899643	342.9846022	271.7243415	167.0342333	128.2664455	182.278425	226.285448
alkA	45.88656794	52.74637344	352.8717192	200.7143562	146.5246926	295.2923149	175.947353	407.3146797	120.5928031	254.4079599	179.8935936	200.7143562	203.6573398	238.3602739
alr	53.48268537	106.817188	1076.401059	710.1598562	361.2866159	600.0754092	632.0960547	1066.006116	892.6804373	776.0468821	842.7728336	842.7728336	685.9692044	720.0733184
alsD	53.48268537	82.42442429	1094.457335	776.0468821	383.4779992	557.9530815	397.8277216	673.7175168	383.743898	780.9032465	924.8015464	828.8688297	906.3974549	1172.19754
alsR	59.38390249	95.33935764	610.9879004	332.4514823	240.5178238	424.9060278	358.2939816	624.6914613	462.0803725	431.1362322	304.4370214	263.1971396	289.8173189	295.0877048
alsS	85.98421925	53.55687953	723.5756257	514.8470172	343.6985607	490.1229866	416.1615882	471.462757	324.7081982	773.3619638	828.2945007	801.7451994	714.6039112	980.9256635
alsT	159.8971041	270.2217517	3783.484974	6076.395249	5579.80891	7945.92797	7632.817597	3394.539129	4932.146714	1763.223938	2983.934185	2932.671982	3359.428244	2880.293273
amhX	20.52058564	27.99311248	154.9866347	106.226507	217.8211148	154.1295848	63.16265894	298.999653	194.0117205	160.6748149	126.8517841	82.48157635	121.8531723	178.1563382
ampS	59.87990386	39.75322502	174.006815	117.4579049	165.4211623	517.3511406	742.8875304	1507.560307	881.0010937	1665.800598	956.0882636	824.856874	702.8144288	861.6749899
amyC	73.21158229	63.07515756	427.861483	381.3574306	471.7896633	557.1801301	460.8009881	384.276249	303.3837494	200.5752799	252.1258094	279.1699796	288.8146272	281.8922491
amyD	108.0084219	80.11497335	162.9742245	141.4354541	232.3249038	253.352104	150.3311323	292.8463291	151.0623159	154.7719265	145.1096848	180.268061	254.4079599	218.4258811
amyE	119.9259452	47.53769346	398.3796104	203.0934639	270.4091201	277.8187192	209.0928617	502.5070407	524.5730934	704.2774109	390.4516232	275.8996851	241.5201922	373.5092081
amyX	64.57930457	41.01273357	114.5632091	88.95476607	166.9184941	162.5793258	119.5939004	212.6003262	281.696924	238.6909405	195.4966397	167.8466578	152.3240571	176.6806212
ansA	80.00398737	569.2821286	7342.216803	2665.14812	1817.828019	2464.364597	3511.812246	2512.660433	1305.150082	4983.694781	3819.055048	3154.072266	1299.733387	491.1432291
ansB	118.1110391	408.4455628	7009.03445	2711.734088	2344.395081	2512.660433	3193.671035	2255.137993	1446.14851	4130.211655	3441.925129	2551.270227	1349.304271	561.4446534
ansR	97.61290581	254.4079599	1148.074064	638.2598115	397.0013216	743.4026393	515.9187253	886.5142431	348.4964138	523.1206823	397.2765974	339.672356	354.3423273	216.0168438
antE	92.09174912	96.33579183	356.1892091	209.2378441	211.4246822	322.6888682	174.8531529	538.573711	393.4400464	551.0349439	326.9667224	199.8813421	316.7059145	321.1269644
appA	62.68289905	39.42393835	103.7523353	72.30382173	93.50684023	138.8131083	75.37425853	286.8196388	84.03975203	103.1786024	92.28344777	117.7024059	122.0222138	150.7485171
